name,population,latitude,longitude,maxnoise
Clifford Pier,0,1.28394665,103.853537790268,69.80834092580136
Marina Centre,20,1.2904753,103.8520359,69.50433274093041
Maxwell,0,1.28062915,103.843994213966,69.1465665805517
Phillip,0,1.2839125,103.8495898,69.4921303447168
Raffles Place,60,1.2835947,103.851568,69.65849815047876
Tanjong Pagar,520,1.2764189,103.8429295,69.17579138713306
Geylang,116960,1.3181862,103.8870563,71.78752110539034
Aljunied,41710,1.3012922,103.8587206,69.73269756013332
Geylang East,33380,1.3181862,103.8870563,71.78752110539034
Kallang Way,40,1.3249544,103.8767546,70.93306708198247
Kampong Ubi,13210,1.328847,103.897373516403,72.48645889020285
Macpherson,28630,1.32620695,103.889506953939,71.7359076685481
Hougang,222310,1.3733601,103.8860907,76.5526321973416
Defu Industrial Park,20,1.35161105,103.89204505,72.9598843781804
Hougang Central,4830,1.3712907,103.8907556,75.68339577480718
Hougang East,21940,1.3733601,103.8860907,76.5526321973416
Hougang West,50120,1.3733601,103.8860907,76.5526321973416
Kangkar,26080,1.3839216,103.9022015,75.6335933559832
Kovan,25640,1.3597278,103.8863248,74.41159314912962
Lorong Ah Soo,34180,1.3520481,103.8845867,73.52100757178697
Lorong Halus,0,1.3831229,103.922492,72.9701245271573
Tai Seng,14700,1.3387694,103.8906378,71.65158070644951
Jurong East,84980,1.333115,103.7422968,66.99878697889261
International Business Park,10,1.3273734,103.747610627953,67.05690535917424
Jurong Gateway,20,1.3320983,103.7433761,67.01912486719303
Jurong Port,10,1.3110156,103.7188639,65.47823135753589
Jurong River,10,1.3135155,103.727496772568,65.52640742740252
Lakeside,1010,1.3442605,103.7207503,66.15532535782117
Penjuru Crescent,10,1.3165214,103.732135356004,65.84941802978739
Teban Gardens,19080,1.32089305,103.741658118063,66.47980957345959
Toh Guan,16510,1.3444027,103.7439352,67.52500774665755
Yuhua East,27460,1.347423,103.7231329,66.3755397886864
Yuhua West,20870,1.347423,103.7231329,66.3755397886864
Jurong West,272660,1.3396365,103.7073387,65.32422758414572
Boon Lay Place,31100,1.3474429,103.7123779,65.7750811849774
Chin Bee,0,1.3358076,103.7116182,65.44537746185561
Hong Kah,56870,1.3582378,103.7271914,66.90006809320728
Jurong West Central,68200,1.3396365,103.7073387,65.32422758414572
Kian Teck,50,1.3285109,103.694796274865,64.84582376817826
Safti,0,1.3304504,103.6834422,64.83119771879488
Taman Jurong,36940,1.3279442,103.7217462,65.73109497571478
Yunnan,70890,1.33828165,103.691098307116,64.500532188777
Kallang,101210,1.310759,103.866262,70.07648515726935
Bendemeer,33830,1.3138211,103.8629282,70.15202932631995
Boon Keng,10970,1.3199062,103.861746,70.77974446300323
Crawford,9740,1.3044356,103.8662427,70.27475632914725
Geylang Bahru,12870,1.3199416,103.8718698,70.57794995375006
Kallang Bahru,30,1.3149163,103.864025,70.24278429029462
Kampong Bugis,890,1.3085297,103.8658712,70.1134564996303
Kampong Java,11260,1.313975,103.845481,70.23689258943337
Lavender,10320,1.3074447,103.8630305,69.90506796824155
Tanjong Rhu,11310,1.29734275,103.873764261344,71.1905649174144
Lim Chu Kang,90,1.4342172,103.7149872,66.4825182080838
Lim Chu Kang,90,1.4342172,103.7149872,66.4825182080838
Mandai,2120,1.4235346,103.8033499,75.52805866938121
Mandai East,0,1.4235346,103.8033499,75.52805866938121
Mandai Estate,2120,1.4080529,103.7588873,70.18445337308444
Mandai West,0,1.4235346,103.8033499,75.52805866938121
Marina East,0,1.288624,103.869827,71.09466558884611
Marina East,0,1.288624,103.869827,71.09466558884611
Marina South,0,1.276998,103.8615002,70.68137412945325
Marina South,0,1.276998,103.8615002,70.68137412945325
Marine Parade,48730,1.3026889,103.9073952,74.84717860180768
East Coast,0,1.3104654,103.9235132,76.9763952774444
Katong,9620,1.3057886,103.8976313,73.46013534019144
Marina East (Mp),0,1.288624,103.869827,71.09466558884611
Marine Parade,28910,1.3026889,103.9073952,74.84717860180768
Mountbatten,10210,1.3062494,103.8824959,71.75234938732677
Museum,380,1.3011676,103.7734711,67.04378403106864
Bras Basah,10,1.2970035,103.8530934,69.40332750317918
Dhoby Ghaut,210,1.2991728,103.8452934,68.88532578612704
Fort Canning,160,1.2922396,103.8441627,68.85006624926895
Newton,6920,1.312981,103.8389215,70.07846381764706
Cairnhill,3330,1.3095838,103.8363139,69.7231803944567
Monk's Hill,980,1.3096313,103.840369,69.77812128552847
Newton Circus,230,1.3128904,103.8396116,70.07832176165824
Orange Grove,1440,1.3133229,103.826632115685,69.87615503843344
Novena,47990,1.3200842,103.8434924,70.84516571168754
Balestier,32340,1.326226,103.8473149,71.54865592750636
Dunearn,3900,1.3210897,103.827867312987,70.65023807032993
Malcolm,2630,1.3244852,103.8344062,71.17021062944391
Moulmein,8470,1.3193745,103.8535398,70.79803925135317
Orchard,920,1.305272,103.8328757,69.28424671694074
Boulevard,400,1.340863,103.830391822121,72.96383073410412
Somerset,130,1.3002901,103.838501,68.93020791513644
Tanglin,390,1.3060443,103.8152804,68.93987579752798
Outram,22080,1.2828695,103.8378603,68.63410339145406
China Square,1590,1.2834925,103.8465903,69.26924691067748
Chinatown,11880,1.2837372,103.8437976,69.04960797931268
Pearl's Hill,8230,1.28442085,103.841552797121,68.86381626124151
People's Park,390,1.2858105,103.8441598,69.02186629408615
Pasir Ris,139890,1.3759799,103.954254551031,79.01662135310025
Flora Drive,12950,1.3599271,103.9650379,85.16443406906652
Loyang East,2190,1.3753678,103.9772924,88.76896804104355
Loyang West,200,1.3753678,103.9772924,88.76896804104355
Pasir Ris Central,25730,1.3719016,103.9499677,78.39326950273245
Pasir Ris Drive,59480,1.3759799,103.954254551031,79.01662135310025
Pasir Ris Park,2980,1.37898635,103.950379788546,77.8126397915196
Pasir Ris West,36330,1.3759799,103.954254551031,79.01662135310025
Paya Lebar,40,1.3538993,103.887820526624,73.51485458451802
Airport Road,0,1.3376284,103.8962049,71.98802841867959
Paya Lebar East,10,1.3538993,103.887820526624,73.51485458451802
Paya Lebar North,20,1.3538993,103.887820526624,73.51485458451802
Paya Lebar West,0,1.3538993,103.887820526624,73.51485458451802
Pioneer,100,1.3375884,103.6974104,64.78607149956538
Benoi Sector,0,1.322022,103.6872516,65.1820910751749
Gul Circle,30,1.3159115,103.662305,65.62088568176962
Joo Koon,40,1.3264794,103.6720703,65.07864551895948
Pioneer Sector,0,1.3018135,103.6639546,66.26812775872767
Punggol,109750,1.398033,103.9073312,76.29206181850196
Coney Island,0,1.40941835,103.921469998714,75.06037060113556
Matilda,30440,1.40174085,103.891146137516,80.13598774639514
Northshore,280,1.41787695,103.901299302842,79.85700164656275
Punggol Canal,0,1.398033,103.9073312,76.29206181850196
Punggol Field,43300,1.3930598,103.9137421,74.81395133251635
Punggol Town Centre,7390,1.398033,103.9073312,76.29206181850196
Waterway East,28340,1.40876875,103.896819099971,79.83927509937243
Queenstown,98050,1.2946235,103.8060454,67.82021487327889
Commonwealth,8130,1.3024428,103.7983085,68.10646002440384
Dover,13200,1.3114214,103.7786275,67.85109239734655
Ghim Moh,11900,1.311558,103.788797,68.32995340088516
