name,population,latitude,longitude,maxnoise
Aljunied,41710,1.3012922,103.8587206,77.76493156152048
Geylang East,33380,1.3181862,103.8870563,84.20896188242119
Kallang Way,40,1.3249544,103.8767546,81.72025063235102
Kampong Ubi,13210,1.328847,103.897373516403,86.66435729939494
Macpherson,28630,1.32620695,103.889506953939,85.36347612859554
Hougang,222310,1.3733601,103.8860907,80.71280011506319
Defu Industrial Park,20,1.35161105,103.89204505,87.03932002981924
Hougang Central,4830,1.3712907,103.8907556,82.40888874036904
Hougang East,21940,1.3733601,103.8860907,80.71280011506319
Hougang West,50120,1.3733601,103.8860907,80.71280011506319
Kangkar,26080,1.3839216,103.9022015,85.00960493035831
Kovan,25640,1.3597278,103.8863248,82.60166269401206
Lorong Ah Soo,34180,1.3520481,103.8845867,83.19672751307196
Lorong Halus,0,1.3831229,103.922492,93.04032007906491
Tai Seng,14700,1.3387694,103.8906378,87.95795487261074
Jurong East,84980,1.333115,103.7422968,78.49074376307902
International Business Park,10,1.3273734,103.747610627953,78.52489965703336
Jurong Gateway,20,1.3320983,103.7433761,78.53818349734767
Jurong Port,10,1.3110156,103.7188639,79.81209168980078
Jurong River,10,1.3135155,103.727496772568,78.36135744128819
Lakeside,1010,1.3442605,103.7207503,82.30578227494141
Penjuru Crescent,10,1.3165214,103.732135356004,77.65166622402342
Teban Gardens,19080,1.32089305,103.741658118063,77.96712854471238
Toh Guan,16510,1.3444027,103.7439352,78.83549312636235
Yuhua East,27460,1.347423,103.7231329,81.88072885588666
Yuhua West,20870,1.347423,103.7231329,81.88072885588666
Jurong West,272660,1.3396365,103.7073387,84.9920891538822
Boon Lay Place,31100,1.3474429,103.7123779,85.19157289697306
Chin Bee,0,1.3358076,103.7116182,83.7397544092065
Hong Kah,56870,1.3582378,103.7271914,81.47853004513334
Jurong West Central,68200,1.3396365,103.7073387,84.9920891538822
Kian Teck,50,1.3285109,103.694796274865,82.98867619202142
Safti,0,1.3304504,103.6834422,80.61223794845203
Taman Jurong,36940,1.3279442,103.7217462,80.58846896527169
Yunnan,70890,1.33828165,103.691098307116,82.91398801487492
Kallang,101210,1.310759,103.866262,79.21504146509533
Bendemeer,33830,1.3138211,103.8629282,78.45101896987862
Boon Keng,10970,1.3199062,103.861746,78.08152082239992
Crawford,9740,1.3044356,103.8662427,79.24671457053631
Geylang Bahru,12870,1.3199416,103.8718698,80.44945090454016
Kallang Bahru,30,1.3149163,103.864025,78.6697522442144
Kampong Bugis,890,1.3085297,103.8658712,79.14786999889499
Kampong Java,11260,1.313975,103.845481,75.21224061414634
Lavender,10320,1.3074447,103.8630305,78.55679946675664
Tanjong Rhu,11310,1.29734275,103.873764261344,80.67056570109118
Lim Chu Kang,90,1.4342172,103.7149872,85.33500342253609
Lim Chu Kang,90,1.4342172,103.7149872,85.33500342253609
Mandai,2120,1.4235346,103.8033499,96.49411326579558
Mandai East,0,1.4235346,103.8033499,96.49411326579558
Mandai Estate,2120,1.4080529,103.7588873,80.03774970060314
Mandai West,0,1.4235346,103.8033499,96.49411326579558
Marina East,0,1.288624,103.869827,79.69536168557877
Marina East,0,1.288624,103.869827,79.69536168557877
Marina South,0,1.276998,103.8615002,77.75720481071883
Marina South,0,1.276998,103.8615002,77.75720481071883
Marine Parade,48730,1.3026889,103.9073952,80.74877557754733
East Coast,0,1.3104654,103.9235132,78.11400094629714
Katong,9620,1.3057886,103.8976313,82.88430548765626
Marina East (Mp),0,1.288624,103.869827,79.69536168557877
Marine Parade,28910,1.3026889,103.9073952,80.74877557754733
Mountbatten,10210,1.3062494,103.8824959,82.59272236418613
Museum,380,1.3011676,103.7734711,74.86951958221937
Bras Basah,10,1.2970035,103.8530934,76.78894177125498
Dhoby Ghaut,210,1.2991728,103.8452934,75.46428234599674
Fort Canning,160,1.2922396,103.8441627,75.32358230215699
Newton,6920,1.312981,103.8389215,74.44015965146849
Cairnhill,3330,1.3095838,103.8363139,74.14384993687943
Monk's Hill,980,1.3096313,103.840369,74.516879421036
Newton Circus,230,1.3128904,103.8396116,74.42296104678665
Orange Grove,1440,1.3133229,103.826632115685,74.55479932689465
Novena,47990,1.3200842,103.8434924,75.09288625804238
