Name,Population,Latitude,Longitude
Geylang Bahru,12870,1.3199416,103.8718698
Kallang Bahru,30,1.3149163,103.864025
Kampong Bugis,890,1.3085297,103.8658712
Kampong Java,11260,1.313975,103.845481
Lavender,10320,1.3074447,103.8630305
Tanjong Rhu,11310,1.29734275,103.873764261344
Lim Chu Kang,90,1.4342172,103.7149872
Lim Chu Kang,90,1.4342172,103.7149872
Mandai,2120,1.4235346,103.8033499
Mandai East,0,1.4235346,103.8033499
Mandai Estate,2120,1.4080529,103.7588873
Mandai West,0,1.4235346,103.8033499
Marina East,0,1.288624,103.869827
Marina East,0,1.288624,103.869827
Marina South,0,1.276998,103.8615002
Marina South,0,1.276998,103.8615002
Marine Parade,48730,1.3026889,103.9073952
East Coast,0,1.3104654,103.9235132
Katong,9620,1.3057886,103.8976313
Marina East (Mp),0,1.288624,103.869827
Marine Parade,28910,1.3026889,103.9073952
Mountbatten,10210,1.3062494,103.8824959
Museum,380,1.3011676,103.7734711
Bras Basah,10,1.2970035,103.8530934
Dhoby Ghaut,210,1.2991728,103.8452934
Fort Canning,160,1.2922396,103.8441627
Newton,6920,1.312981,103.8389215
Cairnhill,3330,1.3095838,103.8363139
Monk's Hill,980,1.3096313,103.840369
Newton Circus,230,1.3128904,103.8396116
Orange Grove,1440,1.3133229,103.826632115685
Novena,47990,1.3200842,103.8434924
Balestier,32340,1.326226,103.8473149
Dunearn,3900,1.3210897,103.827867312987
Malcolm,2630,1.3244852,103.8344062
Moulmein,8470,1.3193745,103.8535398
Orchard,920,1.305272,103.8328757
Boulevard,400,1.340863,103.830391822121
Somerset,130,1.3002901,103.838501
Tanglin,390,1.3060443,103.8152804
Outram,22080,1.2828695,103.8378603
China Square,1590,1.2834925,103.8465903
Chinatown,11880,1.2837372,103.8437976
Pearl's Hill,8230,1.28442085,103.841552797121
People's Park,390,1.2858105,103.8441598
Pasir Ris,139890,1.3759799,103.954254551031
Flora Drive,12950,1.3599271,103.9650379
Loyang East,2190,1.3753678,103.9772924
Loyang West,200,1.3753678,103.9772924
Pasir Ris Central,25730,1.3719016,103.9499677
Pasir Ris Drive,59480,1.3759799,103.954254551031
Pasir Ris Park,2980,1.37898635,103.950379788546
Pasir Ris West,36330,1.3759799,103.954254551031
Paya Lebar,40,1.3538993,103.887820526624
Airport Road,0,1.3376284,103.8962049
Paya Lebar East,10,1.3538993,103.887820526624
Paya Lebar North,20,1.3538993,103.887820526624
Paya Lebar West,0,1.3538993,103.887820526624
Pioneer,100,1.3375884,103.6974104
Benoi Sector,0,1.322022,103.6872516
Gul Circle,30,1.3159115,103.662305
Joo Koon,40,1.3264794,103.6720703
Pioneer Sector,0,1.3018135,103.6639546
Punggol,109750,1.398033,103.9073312
Coney Island,0,1.40941835,103.921469998714
Matilda,30440,1.40174085,103.891146137516
Northshore,280,1.41787695,103.901299302842
Punggol Canal,0,1.398033,103.9073312
Punggol Field,43300,1.3930598,103.9137421
Punggol Town Centre,7390,1.398033,103.9073312
Waterway East,28340,1.40876875,103.896819099971
Queenstown,98050,1.2946235,103.8060454
Commonwealth,8130,1.3024428,103.7983085
Dover,13200,1.3114214,103.7786275
Ghim Moh,11900,1.311558,103.788797
Holland Drive,14230,1.3077174,103.7936434
Kent Ridge,1080,1.2933012,103.7844127
Margaret Drive,10520,1.3014583,103.8014392
Mei Chin,16750,1.2911956,103.8016206
One North,620,1.2996073,103.7872407
Pasir Panjang 1,4010,1.2888336,103.7756574
Pasir Panjang 2,3520,1.2888336,103.7756574
Port,140,1.408495,103.8609948
Queensway,280,1.308069,103.8025128
Singapore Polytechnic,160,1.30913695,103.778143658071
Tanglin Halt,13160,1.2980714,103.798402550261
River Valley,9190,1.340863,103.830391822121
